iter	Passed	Remaining
0	172	171847
1	197	98352
2	221	73765
3	247	61621
4	253	50542
5	280	46400
6	306	43428
7	332	41229
8	360	39648
9	386	38307
10	414	37289
11	441	36359
12	466	35432
13	492	34718
14	517	33964
15	545	33566
16	570	33009
17	596	32523
18	624	32238
19	655	32125
20	681	31769
21	708	31500
22	724	30786
23	756	30784
24	785	30623
25	810	30355
26	835	30118
27	861	29889
28	887	29702
29	913	29540
30	939	29371
31	964	29165
32	989	28996
33	1013	28797
34	1038	28624
35	1062	28448
36	1087	28316
37	1114	28225
38	1140	28114
39	1166	27999
40	1192	27899
41	1218	27783
42	1243	27672
43	1268	27556
44	1293	27442
45	1318	27351
46	1343	27251
47	1371	27196
48	1396	27100
49	1423	27038
50	1448	26954
51	1476	26924
52	1501	26837
53	1526	26746
54	1552	26667
55	1577	26590
56	1603	26528
57	1629	26468
58	1655	26409
59	1682	26361
60	1707	26283
61	1734	26243
62	1759	26167
63	1786	26123
64	1811	26055
65	1836	25990
66	1862	25933
67	1887	25870
68	1913	25818
69	1938	25755
70	1965	25718
71	1989	25647
72	2016	25602
73	2041	25543
74	2068	25511
75	2095	25470
76	2121	25433
77	2149	25405
78	2178	25393
79	2208	25398
80	2238	25400
81	2268	25393
82	2296	25368
83	2325	25363
84	2357	25373
85	2386	25367
86	2413	25329
87	2440	25287
88	2465	25235
89	2498	25261
90	2524	25222
91	2549	25163
92	2573	25103
93	2599	25051
94	2624	25004
95	2651	24966
96	2677	24921
97	2701	24869
98	2728	24830
99	2753	24780
100	2781	24754
101	2805	24702
102	2830	24650
103	2856	24609
104	2882	24573
105	2908	24526
106	2932	24474
107	2957	24423
108	2982	24382
109	3009	24351
110	3035	24315
111	3060	24269
112	3086	24228
113	3113	24196
114	3138	24150
115	3163	24107
116	3187	24056
117	3212	24013
118	3237	23967
119	3262	23926
120	3288	23888
121	3313	23843
122	3339	23813
123	3365	23776
124	3390	23730
125	3415	23692
126	3441	23660
127	3468	23628
128	3494	23594
129	3520	23557
130	3544	23516
131	3570	23481
132	3595	23438
133	3620	23398
134	3643	23345
135	3672	23331
136	3697	23289
137	3722	23252
138	3748	23221
139	3774	23187
140	3799	23146
141	3823	23105
142	3849	23072
143	3875	23039
144	3900	23000
145	3924	22956
146	3950	22921
147	3974	22879
148	3999	22840
149	4024	22803
150	4050	22772
151	4073	22727
152	4099	22695
153	4124	22655
154	4148	22618
155	4173	22578
156	4197	22538
157	4222	22500
158	4247	22463
159	4273	22433
160	4298	22401
161	4324	22369
162	4350	22338
163	4375	22303
164	4400	22270
165	4426	22238
166	4451	22205
167	4477	22173
168	4502	22139
169	4527	22104
170	4551	22067
171	4575	22028
172	4602	22000
173	4625	21960
174	4650	21923
175	4676	21893
176	4700	21857
177	4726	21825
178	4754	21805
179	4777	21766
180	4801	21726
181	4826	21692
182	4851	21659
183	4878	21633
184	4903	21600
185	4929	21571
186	4955	21545
187	4981	21515
188	5007	21488
189	5032	21455
190	5059	21429
191	5086	21404
192	5112	21377
193	5137	21345
194	5163	21317
195	5189	21286
196	5214	21254
197	5240	21228
198	5266	21196
199	5291	21166
200	5316	21133
201	5342	21104
202	5367	21074
203	5392	21041
204	5419	21016
205	5445	20989
206	5471	20961
207	5496	20930
208	5522	20901
209	5547	20867
210	5571	20835
211	5597	20803
212	5622	20774
213	5647	20742
214	5674	20717
215	5700	20689
216	5725	20658
217	5751	20630
218	5773	20588
219	5800	20563
220	5824	20532
221	5851	20505
222	5876	20476
223	5903	20450
224	5927	20415
225	5952	20385
226	5976	20350
227	6002	20323
228	6026	20290
229	6052	20263
230	6077	20232
231	6102	20201
232	6125	20164
233	6151	20135
234	6175	20104
235	6201	20077
236	6226	20046
237	6252	20017
238	6278	19991
239	6303	19962
240	6331	19939
241	6358	19917
242	6384	19889
243	6410	19861
244	6436	19835
245	6462	19809
246	6487	19778
247	6514	19752
248	6539	19722
249	6563	19690
250	6588	19661
251	6615	19636
252	6641	19609
253	6668	19584
254	6693	19555
255	6718	19525
256	6748	19508
257	6770	19472
258	6796	19444
259	6820	19410
260	6845	19383
261	6870	19352
262	6897	19330
263	6922	19300
264	6949	19273
265	6975	19247
266	7000	19219
267	7025	19188
268	7050	19160
269	7077	19134
270	7101	19102
271	7126	19074
272	7150	19042
273	7175	19013
274	7200	18984
275	7226	18957
276	7254	18935
277	7281	18910
278	7308	18886
279	7333	18858
280	7362	18838
281	7387	18809
282	7412	18780
283	7438	18752
284	7462	18722
285	7488	18695
286	7514	18668
287	7538	18637
288	7562	18605
289	7586	18573
290	7610	18543
291	7637	18517
292	7662	18490
293	7688	18462
294	7713	18434
295	7737	18403
296	7761	18372
297	7785	18339
298	7809	18310
299	7834	18280
300	7858	18248
301	7881	18216
302	7906	18188
303	7932	18160
304	7956	18130
305	7979	18098
306	8005	18070
307	8029	18040
308	8054	18012
309	8079	17983
310	8104	17954
311	8130	17928
312	8156	17901
313	8182	17877
314	8207	17848
315	8232	17820
316	8258	17793
317	8284	17767
318	8317	17757
319	8344	17731
320	8370	17705
321	8396	17679
322	8421	17652
323	8445	17621
324	8468	17587
325	8491	17556
326	8515	17526
327	8540	17497
328	8563	17464
329	8587	17435
330	8610	17404
331	8634	17373
332	8657	17341
333	8681	17311
334	8706	17282
335	8729	17250
336	8751	17217
337	8774	17184
338	8798	17156
